ORDER_ID,CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PRODUCT_ID,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,ORDER_STATUS,ORDER_DATE,SHIP_DATE,SHIP_COUNTRY,PAYMENT_METHOD
ORD-1001,CUST-501,Alice Johnson,alice.johnson@email.com,PROD-101,Wireless Bluetooth Headphones,Electronics,1,79.99,Delivered,2025-04-01,2025-04-03,United States,Credit Card
ORD-1001,CUST-501,Alice Johnson,alice.johnson@email.com,PROD-101,Wireless Bluetooth Headphones,Electronics,1,79.99,Delivered,2025-04-01,2025-04-03,United States,Credit Card
ORD-1002,CUST-502,Bob Smith,bob.smith@email.com,PROD-202,Running Shoes - Men Size 10,Footwear,1,129.50,Shipped,2025-04-02,2025-04-05,Canada,PayPal
ORD-1002,CUST-502,Bob Smith,bob.smith@email.com,PROD-202,Running Shoes - Men Size 10,Footwear,1,129.50,Shipped,2025-04-02,2025-04-05,Canada,PayPal
ORD-1004,CUST-501,Alice Johnson,alice.johnson@email.com,PROD-404,Yoga Mat - Purple,Fitness,1,34.99,Delivered,2025-04-03,2025-04-04,United States,Credit Card
ORD-1003,CUST-503,Clara Wei,clara.wei@email.com,PROD-303,"Organic Coffee Beans, 2lb Bag",Grocery,3,18.75,Processing,2025-04-03,,United States,Debit Card
ORD-1003,CUST-503,Clara Wei,clara.wei@email.com,PROD-303,"Organic Coffee Beans, 2lb Bag",Grocery,3,18.75,Processing,2025-04-03,,United States,Debit Card
ORD-1004,CUST-501,Alice Johnson,alice.johnson@email.com,PROD-404,Yoga Mat - Purple,Fitness,1,34.99,Delivered,2025-04-03,2025-04-04,United States,Credit Card
ORD-1005,CUST-504,David Park,david.park@email.com,PROD-505,USB-C Charging Cable 6ft,Electronics,2,12.99,Cancelled,2025-04-04,,United Kingdom,Credit Card
ORD-1005,CUST-504,David Park,david.park@email.com,PROD-505,USB-C Charging Cable 6ft,Electronics,2,12.99,Cancelled,2025-04-04,,United Kingdom,Credit Card
ORD-1006,CUST-505,Emma Garcia,emma.garcia@email.com,PROD-606,"Stainless Steel Water Bottle, 32oz",Kitchen,1,24.99,Shipped,2025-04-05,2025-04-07,Australia,PayPal
